BRDF;Type
alum-bronze;Metal
alumina-oxide;Metal
aluminium;Metal
aventurnine;Dielectric
beige-fabric;Dielectric
black-fabric;Dielectric
black-obsidian;Dielectric
black-oxidized-steel;Metal
black-phenolic;Dielectric
black-soft-plastic;Dielectric
blue-acrylic;Dielectric
blue-fabric;Dielectric
blue-metallic-paint2;Metal
blue-metallic-paint;Metal
blue-rubber;Dielectric
brass;Metal
cherry-235;Dielectric
chrome-steel;Metal
chrome;Metal
colonial-maple-223;Dielectric
color-changing-paint1;Metal
color-changing-paint2;Metal
color-changing-paint3;Metal
dark-blue-paint;Dielectric
dark-red-paint;Dielectric
dark-specular-fabric;Dielectric
delrin;Dielectric
fruitwood-241;Dielectric
gold-metallic-paint2;Metal
gold-metallic-paint3;Metal
gold-metallic-paint;Metal
gold-paint;Metal
gray-plastic;Dielectric
grease-covered-steel;Metal
green-acrylic;Dielectric
green-fabric;Dielectric
green-latex;Dielectric
green-metallic-paint2;Metal
green-metallic-paint;Metal
green-plastic;Dielectric
hematite;Metal
ipswich-pine-221;Dielectric
light-brown-fabric;Dielectric
light-red-paint;Dielectric
maroon-plastic;Dielectric
natural-209;Dielectric
neoprene-rubber;Dielectric
nickel;Metal
nylon;Dielectric
orange-paint;Dielectric
pearl-paint;Dielectric
pickled-oak-260;Dielectric
pink-fabric2;Dielectric
pink-fabric;Dielectric
pink-felt;Dielectric
pink-jasper;Dielectric
pink-plastic;Dielectric
polyethylene;Dielectric
polyurethane-foam;Dielectric
pure-rubber;Dielectric
purple-paint;Dielectric
pvc;Dielectric
red-fabric2;Dielectric
red-fabric;Dielectric
red-metallic-paint;Metal
red-phenolic;Dielectric
red-plastic;Dielectric
red-specular-plastic;Dielectric
silicon-nitrade;Dielectric
silver-metallic-paint2;Metal
silver-metallic-paint;Metal
silver-paint;Metal
special-walnut-224;Dielectric
specular-black-phenolic;Dielectric
specular-blue-phenolic;Dielectric
specular-green-phenolic;Dielectric
specular-maroon-phenolic;Dielectric
specular-orange-phenolic;Dielectric
specular-red-phenolic;Dielectric
specular-violet-phenolic;Dielectric
specular-white-phenolic;Dielectric
specular-yellow-phenolic;Dielectric
ss440;Metal
steel;Metal
steel_ntheta=64;Metal
teflon;Dielectric
tungsten-carbide;Metal
two-layer-gold;Metal
two-layer-silver;Metal
violet-acrylic;Dielectric
violet-rubber;Dielectric
white-acrylic;Dielectric
white-diffuse-bball;Dielectric
white-fabric2;Dielectric
white-fabric;Dielectric
white-marble;Dielectric
white-paint;Dielectric
yellow-matte-plastic;Dielectric
yellow-paint;Dielectric
yellow-phenolic;Dielectric
yellow-plastic;Dielectric
merl_new_metal_001;CMetal
merl_new_metal_002;CMetal
merl_new_metal_003;CMetal
merl_new_metal_004;CMetal
merl_new_metal_005;CMetal
merl_new_metal_006;CMetal
merl_new_metal_007;CMetal
merl_new_metal_008;CMetal
merl_new_metal_009;CMetal
merl_new_metal_010;CMetal
merl_new_metal_011;CMetal
merl_new_metal_012;CMetal
merl_new_metal_013;CMetal
merl_new_metal_014;CMetal
merl_new_metal_015;CMetal
merl_new_metal_016;CMetal
merl_new_metal_017;CMetal
merl_new_metal_018;CMetal
merl_new_metal_019;CMetal
merl_new_metal_020;CMetal
merl_new_metal_021;CMetal
merl_new_metal_022;CMetal
merl_new_metal_023;CMetal
merl_new_metal_024;CMetal
merl_new_metal_025;CMetal
merl_new_metal_026;CMetal
merl_new_metal_027;CMetal
merl_new_metal_028;CMetal
merl_new_metal_029;CMetal
merl_new_metal_030;CMetal
merl_new_metal_031;CMetal
