"METHOD";"BRDF";"DISTANCE"
"ABC";"alum-bronze";0.216666666666667
"ABC-OURS";"alum-bronze";0.316666666666667
"BECKMAN";"alum-bronze";0.791666666666667
"BLINN-PHONG";"alum-bronze";0.533333333333333
"BLINN-PHONG-OURS";"alum-bronze";0.533333333333333
"DUPUY";"alum-bronze";0.483333333333333
"GGX";"alum-bronze";0.516666666666667
"GPLVM_APPROX.1";"alum-bronze";0.158333333333333
"GPLVM_APPROX.2";"alum-bronze";0.175
"GPLVM_APPROX.3";"alum-bronze";0.158333333333333
"GPLVM_APPROX.4";"alum-bronze";0.25
"GPLVM_APPROX.5";"alum-bronze";0.3
"GPLVM_APPROX.6";"alum-bronze";0.6
"LAFORTUNE";"alum-bronze";0.625
"LAFORTUNE-OURS";"alum-bronze";0.709677419354839
"WARD";"alum-bronze";0.466666666666667
"WARD-OURS";"alum-bronze";0.733333333333333
"BAGHER";"alum-bronze";0.216666666666667
"CHEBYCHEV";"alum-bronze";1
"SGD";"alum-bronze";0.341666666666667
"ABC";"alumina-oxide";0.35
"ABC-OURS";"alumina-oxide";0.258333333333333
"BECKMAN";"alumina-oxide";0.633333333333333
"BLINN-PHONG";"alumina-oxide";0.32258064516129
"BLINN-PHONG-OURS";"alumina-oxide";0.383333333333333
"DUPUY";"alumina-oxide";0.45
"GGX";"alumina-oxide";0.575
"GPLVM_APPROX.1";"alumina-oxide";0.217741935483871
"GPLVM_APPROX.2";"alumina-oxide";0.266666666666667
"GPLVM_APPROX.3";"alumina-oxide";0.208333333333333
"GPLVM_APPROX.4";"alumina-oxide";0.341666666666667
"GPLVM_APPROX.5";"alumina-oxide";0.564516129032258
"GPLVM_APPROX.6";"alumina-oxide";0.633333333333333
"LAFORTUNE";"alumina-oxide";0.225
"LAFORTUNE-OURS";"alumina-oxide";0.308333333333333
"WARD";"alumina-oxide";0.308333333333333
"WARD-OURS";"alumina-oxide";0.233333333333333
"BAGHER";"alumina-oxide";0.216666666666667
"SGD";"alumina-oxide";0.166666666666667
"ABC";"aluminium";0.791666666666667
"ABC-OURS";"aluminium";0.6
"BECKMAN";"aluminium";0.833333333333333
"BLINN-PHONG";"aluminium";0.6
"BLINN-PHONG-OURS";"aluminium";0.65
"DUPUY";"aluminium";0.175
"GGX";"aluminium";0.475
"GPLVM_APPROX.1";"aluminium";0.108333333333333
"GPLVM_APPROX.2";"aluminium";0.1
"GPLVM_APPROX.3";"aluminium";0.141666666666667
"GPLVM_APPROX.4";"aluminium";0.183333333333333
"GPLVM_APPROX.5";"aluminium";0.806451612903226
"GPLVM_APPROX.6";"aluminium";0.966666666666667
"LAFORTUNE";"aluminium";0.608333333333333
"LAFORTUNE-OURS";"aluminium";0.725806451612903
"WARD";"aluminium";0.525
"WARD-OURS";"aluminium";0.775
"BAGHER";"aluminium";0.183333333333333
"SGD";"aluminium";0.416666666666667
"ABC";"aventurnine";0.491379310344828
"ABC-OURS";"aventurnine";0.483333333333333
"BECKMAN";"aventurnine";0.691666666666667
"BLINN-PHONG";"aventurnine";0.208333333333333
"BLINN-PHONG-OURS";"aventurnine";0.266666666666667
"DUPUY";"aventurnine";0.433333333333333
"GGX";"aventurnine";0.708333333333333
"GPLVM_APPROX.1";"aventurnine";0.133333333333333
"GPLVM_APPROX.2";"aventurnine";0.2
"GPLVM_APPROX.3";"aventurnine";0.166666666666667
"GPLVM_APPROX.4";"aventurnine";0.375
"GPLVM_APPROX.5";"aventurnine";0.645161290322581
"GPLVM_APPROX.6";"aventurnine";0.911290322580645
"LAFORTUNE";"aventurnine";0.225
"LAFORTUNE-OURS";"aventurnine";0.4
"WARD";"aventurnine";0.258333333333333
"WARD-OURS";"aventurnine";0.25
"BAGHER";"aventurnine";0.209677419354839
"SGD";"aventurnine";0.216666666666667
"ABC";"beige-fabric";0.330645161290323
"ABC-OURS";"beige-fabric";0.366666666666667
"BECKMAN";"beige-fabric";0.591666666666667
"BLINN-PHONG";"beige-fabric";0.275
"BLINN-PHONG-OURS";"beige-fabric";0.225
"DUPUY";"beige-fabric";0.4
"GGX";"beige-fabric";0.483870967741935
"GPLVM_APPROX.1";"beige-fabric";0.216666666666667
"GPLVM_APPROX.2";"beige-fabric";0.241935483870968
"GPLVM_APPROX.3";"beige-fabric";0.216666666666667
"GPLVM_APPROX.4";"beige-fabric";0.274193548387097
"GPLVM_APPROX.5";"beige-fabric";0.525
"GPLVM_APPROX.6";"beige-fabric";0.911290322580645
"LAFORTUNE";"beige-fabric";0.258333333333333
"LAFORTUNE-OURS";"beige-fabric";0.241666666666667
"WARD";"beige-fabric";0.383333333333333
"WARD-OURS";"beige-fabric";0.458333333333333
"BAGHER";"beige-fabric";0.183333333333333
"CHEBYCHEV";"beige-fabric";0.158333333333333
"SGD";"beige-fabric";0.290322580645161
"ABC";"black-fabric";0.733333333333333
"ABC-OURS";"black-fabric";0.825
"BECKMAN";"black-fabric";0.683333333333333
"BLINN-PHONG";"black-fabric";0.283333333333333
"BLINN-PHONG-OURS";"black-fabric";0.175
"DUPUY";"black-fabric";0.258333333333333
"GGX";"black-fabric";0.35
"GPLVM_APPROX.1";"black-fabric";0.133333333333333
"GPLVM_APPROX.2";"black-fabric";0.0833333333333333
"GPLVM_APPROX.3";"black-fabric";0.17741935483871
"GPLVM_APPROX.4";"black-fabric";0.116666666666667
"GPLVM_APPROX.5";"black-fabric";0.266666666666667
"GPLVM_APPROX.6";"black-fabric";0.666666666666667
"LAFORTUNE";"black-fabric";0.258333333333333
"LAFORTUNE-OURS";"black-fabric";0.193548387096774
"WARD";"black-fabric";0.4
"WARD-OURS";"black-fabric";0.354838709677419
"BAGHER";"black-fabric";0.158333333333333
"CHEBYCHEV";"black-fabric";0.283333333333333
"SGD";"black-fabric";0.217741935483871
"ABC";"black-obsidian";0.67741935483871
"ABC-OURS";"black-obsidian";0.716666666666667
"BECKMAN";"black-obsidian";0.875
"BLINN-PHONG";"black-obsidian";0.525
"BLINN-PHONG-OURS";"black-obsidian";0.475
"DUPUY";"black-obsidian";0.241666666666667
"GGX";"black-obsidian";0.325
"GPLVM_APPROX.1";"black-obsidian";0.1
"GPLVM_APPROX.2";"black-obsidian";0.1
"GPLVM_APPROX.3";"black-obsidian";0.05
"GPLVM_APPROX.4";"black-obsidian";0.125
"GPLVM_APPROX.5";"black-obsidian";0.516666666666667
"GPLVM_APPROX.6";"black-obsidian";0.891666666666667
"LAFORTUNE";"black-obsidian";0.941666666666667
"LAFORTUNE-OURS";"black-obsidian";0.685483870967742
"WARD";"black-obsidian";0.316666666666667
"WARD-OURS";"black-obsidian";0.258064516129032
"BAGHER";"black-obsidian";0.158333333333333
"SGD";"black-obsidian";0.216666666666667
"ABC";"black-oxidized-steel";0.375
"ABC-OURS";"black-oxidized-steel";0.548387096774194
"BECKMAN";"black-oxidized-steel";0.625
"BLINN-PHONG";"black-oxidized-steel";0.25
"BLINN-PHONG-OURS";"black-oxidized-steel";0.225806451612903
"DUPUY";"black-oxidized-steel";0.2
"GGX";"black-oxidized-steel";0.166666666666667
"GPLVM_APPROX.1";"black-oxidized-steel";0.15
"GPLVM_APPROX.2";"black-oxidized-steel";0.208333333333333
"GPLVM_APPROX.3";"black-oxidized-steel";0.208333333333333
"GPLVM_APPROX.4";"black-oxidized-steel";0.266666666666667
"GPLVM_APPROX.5";"black-oxidized-steel";0.675
"GPLVM_APPROX.6";"black-oxidized-steel";0.833333333333333
"LAFORTUNE";"black-oxidized-steel";0.608333333333333
"LAFORTUNE-OURS";"black-oxidized-steel";0.629032258064516
"WARD";"black-oxidized-steel";0.516666666666667
"WARD-OURS";"black-oxidized-steel";0.516666666666667
"BAGHER";"black-oxidized-steel";0.133333333333333
"CHEBYCHEV";"black-oxidized-steel";0.475
"SGD";"black-oxidized-steel";0.193548387096774
"ABC";"black-phenolic";0.258064516129032
"ABC-OURS";"black-phenolic";0.675
"BECKMAN";"black-phenolic";0.825
"BLINN-PHONG";"black-phenolic";0.316666666666667
"BLINN-PHONG-OURS";"black-phenolic";0.4
"DUPUY";"black-phenolic";0.233333333333333
"GGX";"black-phenolic";0.6
"GPLVM_APPROX.1";"black-phenolic";0.175
"GPLVM_APPROX.2";"black-phenolic";0.0916666666666667
"GPLVM_APPROX.3";"black-phenolic";0.1
"GPLVM_APPROX.4";"black-phenolic";0.133333333333333
"GPLVM_APPROX.5";"black-phenolic";0.241666666666667
"GPLVM_APPROX.6";"black-phenolic";0.862903225806452
"LAFORTUNE";"black-phenolic";0.891666666666667
"LAFORTUNE-OURS";"black-phenolic";0.841666666666667
"WARD";"black-phenolic";0.408333333333333
"WARD-OURS";"black-phenolic";0.833333333333333
"BAGHER";"black-phenolic";0.133333333333333
"SGD";"black-phenolic";0.141666666666667
"ABC";"black-soft-plastic";0.25
"ABC-OURS";"black-soft-plastic";0.395161290322581
"BECKMAN";"black-soft-plastic";0.675
"BLINN-PHONG";"black-soft-plastic";0.441666666666667
"BLINN-PHONG-OURS";"black-soft-plastic";0.266666666666667
"DUPUY";"black-soft-plastic";0.158333333333333
"GGX";"black-soft-plastic";0.175
"GPLVM_APPROX.1";"black-soft-plastic";0.15
"GPLVM_APPROX.2";"black-soft-plastic";0.2
"GPLVM_APPROX.3";"black-soft-plastic";0.141666666666667
"GPLVM_APPROX.4";"black-soft-plastic";0.166666666666667
"GPLVM_APPROX.5";"black-soft-plastic";0.483333333333333
"GPLVM_APPROX.6";"black-soft-plastic";0.841666666666667
"LAFORTUNE";"black-soft-plastic";0.433333333333333
"LAFORTUNE-OURS";"black-soft-plastic";0.325
"WARD";"black-soft-plastic";0.508620689655172
"WARD-OURS";"black-soft-plastic";0.354838709677419
"BAGHER";"black-soft-plastic";0.158333333333333
"CHEBYCHEV";"black-soft-plastic";0.941666666666667
"SGD";"black-soft-plastic";0.2
"ABC";"blue-acrylic";0.55
"ABC-OURS";"blue-acrylic";0.491666666666667
